入替日,2025/11/13,,,,,
入替時刻,15:34,,,,,
ホール名,台番号,種類,機種名,検定番号,貸出単価,表示単価
タイホー　双葉店,200,P,Ｐ真北斗無双３ジャギの逆襲ＧＥＥ,1P1193,4.16,500円/120玉
タイホー　双葉店,201,P,Ｐ００９　ＲＥ：ＣＹＢＯＲＧ　Ｍ４－Ｋ,110016,4.16,500円/120玉
タイホー　双葉店,202,P,ＰＣＹＢＯＲＧ００９ＶＳ３－Ｋ,410339,4.16,500円/120玉
タイホー　双葉店,203,P,ＰＴｏＬＯＶＥるダークネスＬ９ＹＺ４,4P0687,4.16,500円/120玉
タイホー　双葉店,205,P,Ｐフィーバー戦姫絶唱シンフォギア４Ｚ,410548,4.16,500円/120玉
タイホー　双葉店,206,P,Ｐフィーバー戦姫絶唱シンフォギア４Ｚ,410548,4.16,500円/120玉
タイホー　双葉店,207,P,ＰアズールレーンTHE ANIMATION～異次元トリガー１９９～Ｍ４,4P0088,4.16,500円/120玉
タイホー　双葉店,208,P,ＰアズールレーンTHE ANIMATION～異次元トリガー１９９～Ｍ４,4P0088,4.16,500円/120玉
タイホー　双葉店,210,P,Ｐ真・一騎当千～桃園の誓い～ＬＴＨ－ＦＨ,410432,4.16,500円/120玉
タイホー　双葉店,211,P,Ｐ真・一騎当千～桃園の誓い～ＬＴＨ－ＦＨ,410432,4.16,500円/120玉
タイホー　双葉店,212,P,Ｐ魔法少女まどか☆マギカ３ＬＭ３,3P1891,4.16,500円/120玉
タイホー　双葉店,213,P,Ｐ魔法少女まどか☆マギカ３ＬＭ３,3P1891,4.16,500円/120玉
タイホー　双葉店,215,P,Ｐ魔法少女まどか☆マギカ３ＬＭ３,3P1891,4.16,500円/120玉
タイホー　双葉店,216,P,Ｐブラックラグーン４ＧＦＰＪ,310030,4.16,500円/120玉
タイホー　双葉店,217,P,Ｐ牙狼１１～冴島大河～ＸＸ－ＭＵ,410024,4.16,500円/120玉
タイホー　双葉店,218,P,Ｐ弾球黙示録カイジ沼５Ｖ１Ｕ,3P0935,4.16,500円/120玉
タイホー　双葉店,220,P,ＰメイドインアビスＭＲ,3P1657,4.16,500円/120玉
タイホー　双葉店,221,P,Ｐルパン三世１４Ｈ１ＹＺ４,4P0455,4.16,500円/120玉
タイホー　双葉店,222,P,Ｐｓｉｎ七つの大罪Ｖ１Ｋ,210159,4.16,500円/120玉
タイホー　双葉店,223,P,Ｐ宇宙戦艦ヤマト２２０２－３Ｇ,410355,4.16,500円/120玉
タイホー　双葉店,225,P,Ｐ緋弾のアリア～緋弾覚醒編～３１９Ｖｅｒ．　ＪＭＺ,210118,4.16,500円/120玉
タイホー　双葉店,226,P,Ｐ世界最高の暗殺者、異世界貴族に転生するＪＭＢ,4P1053,4.16,500円/120玉
タイホー　双葉店,227,P,Ｐ一騎当千斬ＳＳＶ１Ｆ,9P1226,4.16,500円/120玉
タイホー　双葉店,228,P,Ｐラブ嬢３Ｈ１ＹＺ６,3P1751,4.16,500円/120玉
タイホー　双葉店,230,P,Ｐ愛の不時着ＭＦ,4P1252,4.16,500円/120玉
タイホー　双葉店,231,P,Ｐ中森明菜・歌姫伝説４ＬＭ－Ｔ,0P1605,4.16,500円/120玉
タイホー　双葉店,232,P,Ｐフィーバーマクロスフロンティア４Ａ,1P0267,4.16,500円/120玉
タイホー　双葉店,233,P,Ｐ冬のソナタＭＹＭｅｍｏｒｙＭ７,4P1509,4.16,500円/120玉
タイホー　双葉店,235,P,Ｐ緋弾のアリア　～緋緋神降臨～ＬＴ搭載ＦＳＺ,310452,4.16,500円/120玉
タイホー　双葉店,236,P,Ｐいくさの子ＧＦＰＦ,4P0453,4.16,500円/120玉
タイホー　双葉店,237,P,Ｐ咲－Ｓａｋｉ－全国編ＨＴＧ,3P0455,4.16,500円/120玉
タイホー　双葉店,238,P,Ｐ甲鉄城のカバネリＳＦＰＡ,2P1308,4.16,500円/120玉
タイホー　双葉店,250,P,Ｐ真北斗無双ＦＷＱＧ,1P1264,4.16,500円/120玉
タイホー　双葉店,251,P,Ｐぱちんこ乃木坂４６トレジャーｖｅｒ．ＫＣＪ２,210302,4.16,500円/120玉
タイホー　双葉店,252,P,Ｐぱちんこ乃木坂４６トレジャーｖｅｒ．ＫＣＪ２,210302,4.16,500円/120玉
タイホー　双葉店,253,P,Ｐフィーバー機動戦士ガンダムＳＥＥＤ　Ｓ,3P0384,4.16,500円/120玉
タイホー　双葉店,255,P,Ｐフィーバー機動戦士ガンダムＳＥＥＤ　Ｓ,3P0384,4.16,500円/120玉
タイホー　双葉店,256,P,Ｐフィーバーマクロスフロンティア５Ｗ,310556,4.16,500円/120玉
タイホー　双葉店,257,P,Ｐフィーバーマクロスフロンティア５Ｗ,310556,4.16,500円/120玉
タイホー　双葉店,258,P,Ｐとある科学の超電磁砲ＦＳＢ,1P0983,4.16,500円/120玉
タイホー　双葉店,260,P,Ｐとある科学の超電磁砲ＦＳＢ,1P0983,4.16,500円/120玉
タイホー　双葉店,261,P,Ｐフィーバー機動戦士ガンダムユニコーンｂ,1P0313,4.16,500円/120玉
タイホー　双葉店,262,P,Ｐフィーバー機動戦士ガンダムユニコーンｂ,1P0313,4.16,500円/120玉
タイホー　双葉店,263,P,ＰＬＴ　ＯＶＥＲＰＡＣＨＩＮＫＯ－ＭＥ,310505,4.16,500円/120玉
タイホー　双葉店,265,P,ＰＬＴ　ＯＶＥＲＰＡＣＨＩＮＫＯ－ＭＥ,310505,4.16,500円/120玉
タイホー　双葉店,266,P,Ｐフィーバー戦姫絶唱シンフォギア　黄金絶唱Ｎ,210099,4.16,500円/120玉
タイホー　双葉店,267,P,Ｐフィーバー戦姫絶唱シンフォギア　黄金絶唱Ｎ,210099,4.16,500円/120玉
タイホー　双葉店,268,P,Ｐ真・花の慶次３ＴＬ５－ＭＸ,2P0966,4.16,500円/120玉
タイホー　双葉店,270,P,Ｐ真・花の慶次３ＴＬ５－ＭＸ,2P0966,4.16,500円/120玉
タイホー　双葉店,271,P,Ｐ北斗の拳９闘神ＧＦＧ,1P0872,4.16,500円/120玉
タイホー　双葉店,272,P,Ｐ北斗の拳９闘神ＧＦＧ,1P0872,4.16,500円/120玉
タイホー　双葉店,273,P,Ｐルパン三世１２Ｈ１ＡＺ２,1P1152,4.16,500円/120玉
タイホー　双葉店,275,P,Ｐルパン三世１２Ｈ１ＡＺ２,1P1152,4.16,500円/120玉
タイホー　双葉店,276,P,Ｐストライクウィッチーズ２ＨＢＣ,1P1787,4.16,500円/120玉
タイホー　双葉店,277,P,ＰＡ激デジ牙狼月虹ノ旅人－ＲＬ,310325,4.16,500円/120玉
タイホー　双葉店,278,P,Ｐ北斗の拳強敵ＳＳＰＡ,3P0914,4.16,500円/120玉
タイホー　双葉店,280,P,Ｐ大工の源さん超韋駄天ＹＢＢ,0P1268,4.16,500円/120玉
タイホー　双葉店,281,P,Ｐゴジラ対エヴァンゲリオン　Ｇ細胞覚醒ＹＲ,210319,4.16,500円/120玉
タイホー　双葉店,282,P,ＰＡコマコマ倶楽部ｗｉｔｈ坂本冬美ＬＯＯＰ１,4P0286,4.16,500円/120玉
タイホー　双葉店,283,P,Ｐフィーバー機動戦士ガンダムＳＥＥＤ　ＹＺ,410470,4.16,500円/120玉
タイホー　双葉店,285,P,Ｐ七つの美徳Ｖ２Ａ,1P1894,4.16,500円/120玉
タイホー　双葉店,286,P,Ｐ江頭２：５０　ｉｎナナシーＶ３,4P0800,4.16,500円/120玉
タイホー　双葉店,287,P,ＰＡ銀河英雄伝説ＤＮＴＮ２－Ｘ,410055,4.16,500円/120玉
タイホー　双葉店,288,P,Ｐギルティクラウン２ＳＢ,3P1919,4.16,500円/120玉
タイホー　双葉店,300,P,Ｐフィーバー革命機ヴァルヴレイヴ３Ｙ,3P1670,4.16,500円/120玉
タイホー　双葉店,301,P,Ｐリング　呪いの７日間２　ＦＷＡ,1P0367,4.16,500円/120玉
タイホー　双葉店,302,P,ＰＡフィーバーダンベル何キロ持てる？Ｙ,3P0185,4.16,500円/120玉
タイホー　双葉店,303,P,ＰＡフィーバーかぐや様は告らせたいＹＧ,3P1348,4.16,500円/120玉
タイホー　双葉店,305,P,Ｐブラックラグーン４ＧＣＰＡ,4P0494,4.16,500円/120玉
タイホー　双葉店,306,P,Ｐデジハネ聖戦士ダンバイン２ＳＳＰＢ,3P1188,4.16,500円/120玉
タイホー　双葉店,307,P,Ｐとある科学の超電磁砲　最強御坂ＶｅｒＲＶＺ,210239,4.16,500円/120玉
タイホー　双葉店,308,P,Ｐ天才バカボン６ＦＤ－ＲＳ,1P1094,4.16,500円/120玉
タイホー　双葉店,310,P,Ｐバジリスク２ＡＢ,0P1059,4.16,500円/120玉
タイホー　双葉店,311,P,Ｐシン・エヴァンゲリオンＭＶ,410629,4.16,500円/120玉
タイホー　双葉店,312,P,Ｐ真北斗無双３覚醒闘舞ＧＣＤ,210115,4.16,500円/120玉
タイホー　双葉店,313,P,Ｐフィーバー炎炎ノ消防隊ＹＲ,3P1234,4.16,500円/120玉
